epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2366.16,0.77873,0.50243,0.87641,0.97313,0.99335,0.99421,0.77903,0.8694,0.46769,0.87285,0.000742625,0.000742625,0.000742625
43,2420.88,0.7465,0.49292,0.87514,0.99058,0.98954,0.99403,0.78236,0.83787,0.45809,0.86425,0.00073025,0.00073025,0.00073025
44,2475.63,0.75451,0.4877,0.87845,0.99351,0.98979,0.99312,0.78415,0.8376,0.44785,0.86599,0.000717875,0.000717875,0.000717875
45,2530.5,0.76305,0.48013,0.86526,0.98159,0.99341,0.99365,0.78745,0.84534,0.46298,0.87034,0.0007055,0.0007055,0.0007055
46,2585.52,0.7732,0.50081,0.87917,0.977,0.98921,0.99444,0.78125,0.87936,0.47972,0.8755,0.000693125,0.000693125,0.000693125
47,2640.2,0.72243,0.46019,0.87336,0.97505,0.98841,0.99396,0.78204,0.85061,0.46676,0.8661,0.00068075,0.00068075,0.00068075
48,2700.08,0.74367,0.47145,0.86671,0.98783,0.97878,0.9927,0.78197,0.88708,0.46365,0.86988,0.000668375,0.000668375,0.000668375
49,2759.63,0.75877,0.46165,0.87311,0.99756,0.97765,0.99358,0.78378,0.86118,0.44551,0.87051,0.000656,0.000656,0.000656
50,2818.42,0.75557,0.46184,0.87291,0.98042,0.97326,0.99206,0.78201,0.85709,0.47183,0.87225,0.000643625,0.000643625,0.000643625
51,2876.31,0.75022,0.45929,0.87519,0.99398,0.97877,0.99295,0.77528,0.86884,0.44757,0.87329,0.00063125,0.00063125,0.00063125
52,2934.66,0.72828,0.45491,0.87332,0.9891,0.98902,0.99426,0.78292,0.86716,0.44142,0.87254,0.000618875,0.000618875,0.000618875
53,2993.11,0.73909,0.45699,0.88176,0.98106,0.99865,0.99461,0.7786,0.8737,0.42874,0.87474,0.0006065,0.0006065,0.0006065
54,3050.04,0.7255,0.45784,0.8737,0.98785,0.98306,0.9929,0.77918,0.87843,0.44374,0.87516,0.000594125,0.000594125,0.000594125
55,3106.78,0.74186,0.44349,0.87249,0.98734,0.98445,0.99429,0.78,0.86901,0.43915,0.87267,0.00058175,0.00058175,0.00058175
56,3163.38,0.7419,0.44393,0.87907,0.99716,0.97755,0.99425,0.77958,0.85836,0.43981,0.87476,0.000569375,0.000569375,0.000569375
57,3220.08,0.72738,0.44473,0.86019,0.99338,0.9753,0.99336,0.78755,0.83476,0.43116,0.87101,0.000557,0.000557,0.000557
58,3276.76,0.72127,0.43805,0.86794,0.98838,0.98541,0.99453,0.78652,0.8669,0.42318,0.87162,0.000544625,0.000544625,0.000544625
59,3333.36,0.73657,0.44034,0.86843,0.98328,0.97284,0.98966,0.78199,0.86006,0.44573,0.87225,0.00053225,0.00053225,0.00053225
60,3389.86,0.72846,0.44418,0.86411,0.99309,0.98501,0.99288,0.79187,0.85452,0.42642,0.86716,0.000519875,0.000519875,0.000519875
61,3447.77,0.71623,0.43431,0.87247,0.99092,0.97765,0.99065,0.78715,0.86661,0.42802,0.86787,0.0005075,0.0005075,0.0005075
62,3506.24,0.71185,0.41732,0.85782,0.98398,0.97719,0.99193,0.7848,0.84111,0.43563,0.86716,0.000495125,0.000495125,0.000495125
63,3563.61,0.69145,0.41722,0.85915,0.98231,0.99037,0.993,0.7914,0.85308,0.42198,0.87028,0.00048275,0.00048275,0.00048275
64,3620.35,0.70724,0.40957,0.86239,0.98927,0.97698,0.99077,0.77366,0.88901,0.43364,0.879,0.000470375,0.000470375,0.000470375
65,3677.06,0.71521,0.42044,0.86659,0.99154,0.97305,0.98975,0.78234,0.86739,0.451,0.87322,0.000458,0.000458,0.000458
66,3733.61,0.67429,0.41791,0.85001,0.98913,0.97475,0.9899,0.78965,0.84781,0.43402,0.86911,0.000445625,0.000445625,0.000445625
67,3790.33,0.68771,0.41146,0.86285,0.99353,0.96915,0.9912,0.78081,0.86609,0.43785,0.86983,0.00043325,0.00043325,0.00043325
68,3848.58,0.69462,0.4111,0.85672,0.99263,0.97296,0.99193,0.7847,0.84628,0.43458,0.86832,0.000420875,0.000420875,0.000420875
69,3905.95,0.69274,0.40042,0.8546,0.98429,0.98577,0.99264,0.78811,0.84364,0.41121,0.86255,0.0004085,0.0004085,0.0004085
70,3963.33,0.66733,0.40122,0.85917,0.98302,0.99051,0.99274,0.78889,0.83801,0.41639,0.86562,0.000396125,0.000396125,0.000396125
71,4020.21,0.67674,0.39712,0.85415,0.98048,0.9814,0.99274,0.79077,0.83961,0.42507,0.8679,0.00038375,0.00038375,0.00038375
72,4077.78,0.689,0.39238,0.86028,0.98388,0.96817,0.99345,0.78428,0.85018,0.42637,0.86795,0.000371375,0.000371375,0.000371375
73,4135.42,0.68047,0.3978,0.85799,0.99089,0.96896,0.99236,0.7871,0.82731,0.42762,0.86696,0.000359,0.000359,0.000359
74,4192.61,0.67493,0.41292,0.85909,0.99061,0.97371,0.992,0.78749,0.83134,0.41891,0.86517,0.000346625,0.000346625,0.000346625
75,4249.28,0.66542,0.39112,0.85284,0.99747,0.97466,0.9919,0.78695,0.86046,0.41787,0.86925,0.00033425,0.00033425,0.00033425
76,4305.97,0.67122,0.38643,0.84413,0.98799,0.97838,0.99233,0.7872,0.84608,0.41731,0.86692,0.000321875,0.000321875,0.000321875
77,4362.71,0.67959,0.38609,0.84329,0.99256,0.97694,0.99363,0.78875,0.83271,0.40886,0.86245,0.0003095,0.0003095,0.0003095
78,4419.44,0.6665,0.38829,0.85763,0.99032,0.97648,0.9933,0.79012,0.84056,0.40426,0.86459,0.000297125,0.000297125,0.000297125
79,4476.26,0.66715,0.38592,0.84846,0.99831,0.97412,0.99193,0.78973,0.83393,0.40648,0.86442,0.00028475,0.00028475,0.00028475
80,4533.13,0.63308,0.35961,0.85077,0.9952,0.9688,0.99227,0.78887,0.83385,0.40332,0.86485,0.000272375,0.000272375,0.000272375
81,4589.79,0.63419,0.37121,0.84105,0.98942,0.97352,0.99414,0.79414,0.82901,0.40455,0.86039,0.00026,0.00026,0.00026
82,4646.55,0.67539,0.38451,0.85691,0.98539,0.96905,0.98802,0.78275,0.84607,0.41634,0.86505,0.000247625,0.000247625,0.000247625
83,4703.36,0.64572,0.37323,0.83823,0.99348,0.97765,0.99005,0.79724,0.82954,0.40437,0.86159,0.00023525,0.00023525,0.00023525
84,4760.08,0.65838,0.37275,0.85074,0.99218,0.97765,0.99099,0.79471,0.84008,0.40627,0.86338,0.000222875,0.000222875,0.000222875
85,4816.72,0.6483,0.37228,0.84501,0.98938,0.96923,0.99341,0.79229,0.84044,0.40831,0.86297,0.0002105,0.0002105,0.0002105
86,4873.56,0.62708,0.37242,0.84515,0.98027,0.98658,0.99324,0.79735,0.83673,0.38577,0.86041,0.000198125,0.000198125,0.000198125
87,4930.34,0.64156,0.35721,0.846,0.99166,0.97294,0.99257,0.79149,0.83957,0.39528,0.86371,0.00018575,0.00018575,0.00018575
88,4987.13,0.64266,0.37437,0.84495,0.98893,0.97342,0.99209,0.78675,0.84016,0.39115,0.86393,0.000173375,0.000173375,0.000173375
89,5043.75,0.60783,0.3454,0.83523,0.99451,0.97694,0.99339,0.78967,0.83954,0.38857,0.86563,0.000161,0.000161,0.000161
90,5100.53,0.64546,0.36059,0.84406,0.9904,0.97587,0.99285,0.7917,0.83681,0.38661,0.86705,0.000148625,0.000148625,0.000148625
91,5157.4,0.61889,0.34407,0.84345,0.98042,0.98484,0.99252,0.78977,0.84508,0.3993,0.86936,0.00013625,0.00013625,0.00013625
92,5214,0.61412,0.34948,0.83523,0.9847,0.985,0.99271,0.78611,0.84281,0.39517,0.86789,0.000123875,0.000123875,0.000123875
93,5270.59,0.61315,0.34721,0.83645,0.98902,0.97418,0.99238,0.79547,0.82992,0.39789,0.86512,0.0001115,0.0001115,0.0001115
94,5327.22,0.59851,0.34039,0.83465,0.98369,0.9822,0.99265,0.79094,0.84138,0.39953,0.86632,9.9125e-05,9.9125e-05,9.9125e-05
95,5383.77,0.58723,0.33229,0.83216,0.98503,0.98701,0.99282,0.78777,0.84375,0.40278,0.86588,8.675e-05,8.675e-05,8.675e-05
96,5440.58,0.59815,0.33574,0.8328,0.98501,0.98597,0.99302,0.79044,0.84457,0.39977,0.86631,7.4375e-05,7.4375e-05,7.4375e-05
97,5497.26,0.58941,0.3321,0.83471,0.9857,0.98977,0.99326,0.79003,0.84314,0.39298,0.86625,6.2e-05,6.2e-05,6.2e-05
98,5553.78,0.59192,0.3294,0.82701,0.98784,0.98453,0.99345,0.79294,0.84202,0.39097,0.8658,4.9625e-05,4.9625e-05,4.9625e-05
99,5610.46,0.58586,0.32992,0.82681,0.98301,0.9874,0.99345,0.79278,0.83797,0.38945,0.8653,3.725e-05,3.725e-05,3.725e-05
100,5667.07,0.57416,0.3202,0.82717,0.98264,0.98686,0.99322,0.79188,0.83779,0.38995,0.86591,2.4875e-05,2.4875e-05,2.4875e-05
